isin,Basic Materials,Consumer Discretionary,Consumer Staples,Corporate,Covered,Energy,Financials,Government,Health Care,Industrials,Real Estate,Securitised,Technology,Telecommunication,Utilities,Liquidity,Supranational,Other
DE000A2QP4C4,0.6131,11.5747,4.4266,,,3.9213,8.5117,,11.0925,2.0412,,,45.5246,12.0422,,0.2521,,
DE000A2QP4D2,,,,99.9841,,,,,,,,,,,,0.0159,,
DE000A2QP4F7,4.614,8.8642,4.9338,,,7.385,44.2391,,1.8832,9.0249,6.0678,,2.259,2.8029,6.8989,1.0271,,
DE000A2T0VS9,,,,,,,,,,,,,,,,,,
DE000A2T0VT7,,,,,,,,,,,,,,,,,,
DE000A2T0VU5,,,,,,,,,,,,,,,,,,
DE000A2T5DZ1,,,,,,,,,,,,,,,,,,
DE000A2UDH48,,,,,,,,,,,,,,,,,,
DE000A2UDH55,,,,,,,,,,,,,,,,,,
DE000A2UDH63,,,,,,,,,,,,,,,,,,
DE000A3G3ZD0,,,,,,,,,,,,,,,,,,
DE000A3G3ZL3,,,,,,,,,,,,,,,,,,
DE000A3G90G9,,,,,,,,,,,,,,,,,,
DE000A3G9SE0,,,,,,,,,,,,,,,,,,
DE000A3GK2N1,,,,,,,,,,,,,,,,,,
DE000A3GMKD7,,,,,,,,,,,,,,,,,,
DE000A3GN5J9,,,,,,,,,,,,,,,,,,
DE000A3GPSP7,,,,,,,,,,,,,,,,,,
DE000A3GSUC5,,,,,,,,,,,,,,,,,,
DE000A3GSUD3,,,,,,,,,,,,,,,,,,
DE000A3GSUE1,,,,,,,,,,,,,,,,,,
DE000A3GTML1,,,,,,,,,,,,,,,,,,
DE000A3GV1T7,,,,,,,,,,,,,,,,,,
DE000A3GV1U5,,,,,,,,,,,,,,,,,,
DE000A3GVKY4,,,,,,,,,,,,,,,,,,
DE000A3GVKZ1,,,,,,,,,,,,,,,,,,
DE000A3GWEU3,,,,,,,,,,,,,,,,,,
DE000A3GWNE8,,,,,,,,,,,,,,,,,,
DE000A3GXNT4,,,,,,,,,,,,,,,,,,
DE000A3GXNV0,,,,,,,,,,,,,,,,,,
DE000A3GYNB0,,,,,,,,,,,,,,,,,,
DE000A41ZZJ4,,,,,,,,,,,,,,,,,,
DE000A4231H9,,,,,,,,,,,,,,,,,,
DE000A428XC1,,,,,,,,,,,,,,,,,,
DE000A4A59D2,,,,,,,,,,,,,,,,,,
DE000A4A5GV2,,,,,,,,,,,,,,,,,,
DE000A4A5Z72,,,,,,,,,,,,,,,,,,
DE000A4AER62,,,,,,,,,,,,,,,,,,
DE000A4AJWU3,,,,,,,,,,,,,,,,,,
DE000A4AKW34,,,,,,,,,,,,,,,,,,
DE000A4AKZB4,,,,,,,,,,,,,,,,,,
DE000A4APQX6,,,,,,,,,,,,,,,,,,
DE000A4APRP0,,,,,,,,,,,,,,,,,,
DE000A4ARTJ5,,,,,,,,,,,,,,,,,,
DE000A4AT2X6,,,,,,,,,,,,,,,,,,
DE000ETC0001,,,,,,,,,,,,,,,,,,
DE000ETC0696,,,,,,,,,,,,,,,,,,
DE000ETC0704,,,,,,,,,,,,,,,,,,
DE000ETC0738,,,,,,,,,,,,,,,,,,
DE000ETC0746,,,,,,,,,,,,,,,,,,
DE000ETC0779,,,,,,,,,,,,,,,,,,
DE000ETC0787,,,,,,,,,,,,,,,,,,
DE000ETF7011,,,,,,,,,,,,,,,,,,100.0
DE000ETF7029,,,,,,,,,,,,,,,,,,100.0
DE000ETF7037,,,,,,,,,,,,,,,,,,100.0
DE000ETF9033,10.3156,23.5981,3.2015,,,,21.1922,,,18.6593,3.846,,,,19.1872,,,
DE000ETF9074,15.3726,18.8812,,,,,9.9847,,4.734,26.5213,5.8017,,13.6944,5.01,,,,
DE000ETF9082,,,,,,0.5192,,,24.49,8.4778,,,47.7468,18.7662,,,,
DE000ETF9090,8.669,12.4317,,,,,29.5124,,6.9992,13.3469,1.9216,,14.2526,7.1814,3.9129,,,1.7722
DE000ETF9603,5.4286,7.4478,7.327,,,,30.5378,,12.8208,16.6465,,,10.2595,3.2337,4.7943,,,1.504
DE000ETFL011,5.16,6.04,0.41,,,,22.19,,6.54,36.02,,,13.79,5.37,4.47,,,0.02
DE000ETFL029,4.37,9.66,6.69,,,4.99,28.25,,3.98,20.73,,,14.4,2.13,4.65,,,0.15
DE000ETFL037,,17.65,,,,,9.98,,,37.13,,,35.12,,,,,0.24
DE000ETFL045,12.85,11.7,4.37,,,,19.1,,19.04,15.08,,,,,15.75,,,2.13
DE000ETFL052,6.41,14.61,2.18,,,,14.49,,9.5,25.99,,,17.46,,7.86,,,1.5
